Part No,Name,Category,Stock,Image Path,History
SBTFH5.5-2,"STOPPER PINS SPHERE TYPE, 5.5 X 2MM HEAD",Distal Wire Attach Machine | ?????,0.0,,
,?1/46mm?Air connector(Internal thread 1/4 to 6mm tube),Hot air station | ????,0.0,,
92125a192,M4 X 0.7MM TYPE 18-8 SS FLAT HEAD SOCKET CAP SCREW,Non-Tip Riveting Fixture | ??????,0.0,,
,"Slide Glass, Oneside And One End Frosted, Ground Edges 72/PK",Ultrasonic Bath | ??????,17.0,,
51525K426,"Straight Plug-to-Socket Adapters, Quick-Turn Tube?",Air Leak Tester | ?????,5.0,,
51525K283,"Plastic Quick-Turn Tube CouplingSockets, for 1/8"" Barbed Tube ID, Polycarbonate?",Air Leak Tester | ?????,17.0,,
51525K372,Plastic Quick-Turn Tube CouplingPolypropylene Plastic Caps for Sockets?,Air Leak Tester | ?????,5.0,,
51525K276,"Plastic Quick-Turn Tube CouplingPlugs, for 1/4"" Barbed Tube ID, Polycarbonate?",Air Leak Tester | ?????,5.0,,
51525K423,"Plastic Quick-Turn Tube CouplingSocket-to-Socket Connectors, Clear Polycarbonate?",Air Leak Tester | ?????,5.0,,
,Leak test connector,Air Leak Tester | ?????,0.0,,
TL910,Fluke TL910 Electronic Test Probes,???,0.0,,
,Print head (ZD421)?ZD421),Zebra printer?ZD421) | ?????,1.0,,
,Print head (ZT610)?ZT610),Label printer | ?????,1.0,,
,Bull Steak,transformer TND/SVC-3000VA | ???,0.0,,
 CTH-608,,refrigerator BCD-78L | ,0.0,,
,High temperature sealed teflon cloth ,Sealing machine | ???,0.0,,
,,Sealing machine | ???,0.0,,
,,Sealing machine | ???,0.0,,
,Pressure regulating valve,Sealing machine | ???,0.0,,
,Pedals,Sealing machine | ???,0.0,,
,High temperature tape,Apricot Automated Calibration system | ???????,0.0,,
,Water tank,Apricot Automated Calibration system | ???????,0.0,,
,Leakage automatic switch,Apricot Automated Calibration system | ???????,0.0,,
,Time relay brand: CKCANGL Model: AH3-3 CONTACT:5A/250VAC 220V Set time mileage: 0?1 SEC/0?3sec/0?3min,Apricot Automated Calibration system | ???????,0.0,,
,Power switch button (red)??,Apricot Automated Calibration system | ???????,0.0,,
,Power switch button (green)??,Apricot Automated Calibration system | ???????,0.0,,
,Small cylinder,Apricot Automated Calibration system | ???????,0.0,,
,cylinder,Apricot Automated Calibration system | ???????,0.0,,
,Pressure regulating valve,Apricot Automated Calibration system | ???????,0.0,,
, Pressure regulator ROANYAFR-2000+ Filter AL-2000+ barometer SMC0~10Mpa,Apricot Automated Calibration system | ???????,0.0,,
,barometer,Apricot Automated Calibration system | ???????,0.0,,
,Pressure regulating valve connector,Apricot Automated Calibration system | ???????,0.0,,
,Trachea Tee Connector,Apricot Automated Calibration system | ???????,0.0,,
,Driver pin,SpeedMixer | ?????,0.0,,
,Thermostat,"Thermostatic drying oven DHG-9053AS,DHG-8050S | ?????",0.0,,
,Door handle,"Thermostatic drying oven DHG-9053AS,DHG-8050S | ?????",0.0,,
,Temperature Controller,Incubator | ???,0.0,,
,Power switch (red) square??,Incubator | ???,0.0,,
,Bezel,Hot air repair station | ?????,0.0,,
,Protective cover,Hot air repair station | ?????,0.0,,
FXT-00282, FXT-00282 SPINDLE CONE/Fxt-00282,2.5 Spooling Fixture | 2.5????,0.0,,
FXT-00283,FXT-00283 BEARING BLOCK/Fxt-00283,2.5 Spooling Fixture | 2.5????,0.0,,
57155K337, 57155K337 FLANGED BEARING/,2.5 Spooling Fixture | 2.5????,0.0,,
7747K11,7747K11 QUICK-CONNECT CLAMPING SHAFT/7747k11,2.5 Spooling Fixture | 2.5????,0.0,,
3810N12,3810N12 RUBBER BUMPER/3810n12,2.5 Spooling Fixture | 2.5????,0.0,,
90710A035,90710A035 M4 X 0.7 HEXT NUT THIN/90710a035 m4 × 0.7,2.5 Spooling Fixture | 2.5????,0.0,,
91292A113, 91292A113 M3 X 10MM SHCS ,2.5 Spooling Fixture | 2.5????,0.0,,
2277A512, 2277A51 M4 BALL NOSE PLUNGER PLASTIC NOSE/2277a51 m4,2.5 Spooling Fixture | 2.5????,0.0,,
JJ-QS-000127-AC1,FXT-00006 POTTING PLATE/Fxt-00006,Distal Plug Potting Fixture | ???????,16.0,,
FXT-00007, FXT-00007 LOCATING PLATE SIDE A/Fxt-00007a ,Distal Plug Potting Fixture | ???????,2.0,,
FXT-00008,FXT-00008 LOCATING PLATE SIDE B/Fxt-00008b,Distal Plug Potting Fixture | ???????,2.0,,
FXT-00009,FXT-00009 LOCATING FRAME/Fxt-00009,Distal Plug Potting Fixture | ???????,0.0,,
93600A370,93600A370 316 STAINLESS STEEL DOWEL PIN 18 MM LENGTH/93600a370 31618mm,Distal Plug Potting Fixture | ???????,0.0,,
93600A364,93600A364 METRIC TYPE 316 STAINLESS STEEL DOWEL PIN 14 MM LENGTH/93600a36431614mm,Distal Plug Potting Fixture | ???????,0.0,,
5862K166,5862K166 HIGH-PULL RARE EARTH MAGNETIC DISC/5862k166,Distal Plug Potting Fixture | ???????,0.0,,
FXT-00088-2,SPOOL TOWERFxt-00088-2,Spooling Fixture | ????,0.0,,
FXT-00088-3, SPOOL ADAPTERFxt-00088-3,Spooling Fixture | ????,0.0,,
9961K15,"Clamping Shaft Collarfor 3/8"" Diameter, Zinc-Plated 1215 Carbon Steel9961k15",Spooling Fixture | ????,0.0,,
6168k15,QUICK-CONNECT ONE-PIECE SHAFT COLLAR6168k15 ,Spooling Fixture | ????,0.0,,
2277A511, M4 BALL NOSE PLUNGER PLASTIC NOSE2277a51 m4,Spooling Fixture | ????,0.0,,
 92290A150, 92290A150 M4 X 14MM SHCS ,Spooling Fixture | ????,0.0,,
 90751A116, 90751A116 M4 X 10MM SHCS ,Spooling Fixture | ????,0.0,,
U-PSFR0.38-L9.00, ROTARY  SHAFTU-psfr0.38-l9.00,Spooling Fixture | ????,0.0,,
Azkls15-15-m4,URETHANE RUBBER BUMPERAzkls15-15-m4,Spooling Fixture | ????,0.0,,
A_7y55-fss8737g, BALL BEARING FLANGED (ABEC 3 )A_7y55-fss8737g(abec 3),Spooling Fixture | ????,0.0,,
FXT-00223,Insulator Tube Cutting Fixture BodyFXT-00223,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
JJ-QS-000130-AC6,Insulator Tube Cutting Fixture Support BlockFXT-00224,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
FXT-00222-3,STOP BLOCKFxt-00222-3,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
FXT-00222-2,STOP BLOCK GUIDEfext -00222-2,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
1807n126,Compression Springs1807n126,Insulator Cutting and Nozzle Clamping Fixture | ??????,10.0,,
FXT-00222-1,GUIDE COVERFxt-00222-1,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
FXT-00275,Nozzle Soldering ClampFXT-00275,Insulator Cutting and Nozzle Clamping Fixture | ??????,2.0,,
8969T121,Stainless steel compression spring8969T121 ,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
fxt - 00222-4,SPACERfxt - 00222-4 a,Insulator Cutting and Nozzle Clamping Fixture | ??????,2.0,,
84935K76,"0.039"" DIAMETER PTFE ROD84935k76 0.039",Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
91595A019,METRIC ALLOY STEEL DOWEL PIN91595a019,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
92095A182,BUTTON HEAD M3X10 SCREWm3 *10,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
93600A368,  M3x16 DOWEL93600A368,Insulator Cutting and Nozzle Clamping Fixture | ??????,0.0,,
C030225,2 WAY PUSH BUTTON CONTROL VALVEC030225,Distal Plug Pneumatic Purge Fixture | ??????,0.0,,
KQ2H03-32N,One-Touch FittingKQ2H03-32N 5/32*10-32,Distal Plug Pneumatic Purge Fixture | ??????,0.0,,
AF20-N01B-CJZ-A ,AF20-N01B-CJZ-A filterAf20-no1b-cjz-a,Distal Plug Pneumatic Purge Fixture | ??????,0.0,,
91979A587,10-32 SET SCREW VENTED10-32,Distal Plug Pneumatic Purge Fixture | ??????,0.0,,
5548K82,5/32 OD X 7/64 ID TUBING5548k82 5/32 od *7/64 id,Distal Plug Pneumatic Purge Fixture | ??????,0.0,,
51235K103,5/32 X 1/8 NPT PUSH TO CONNECT51235k103 5/32*1/8 NPT,Distal Plug Pneumatic Purge Fixture | ??????,0.0,,
FXT-00429-1,NOZZLE ALIGNMENT CRADLEFxt-00429-1,Nozzle to collar alignment fixture | ????????,0.0,,
FXT-00429-2,NECK ALIGNMENT ARMFxt-00429-2,Nozzle to collar alignment fixture | ????????,0.0,,
FXT-00429-3,NOZZLE ALIGNMENT BITFXT-00429-3 ,Nozzle to collar alignment fixture | ????????,0.0,,
FXT-00429-5,NOZZLE ALIGNMENT BASEFxt-00429-5 ,Nozzle to collar alignment fixture | ????????,0.0,,
FXT-00429-6,CRADLEfxt - 00429 - 6 ,Nozzle to collar alignment fixture | ????????,0.0,,
Fxt-00429-7,NECK ALIGNMENT ARMFxt-00429-7,Nozzle to collar alignment fixture | ????????,0.0,,
98380A108,M2 X 16MM DOWEL98380a108 m2 * 16mm,Nozzle to collar alignment fixture | ????????,0.0,,
57485K11,SET SCREW SHAFT COLLAR57485k11 ,Nozzle to collar alignment fixture | ????????,0.0,,
3810N111,RUBBER FOOT3810n111 ,Nozzle to collar alignment fixture | ????????,0.0,,
91292A010,M2.5 X 6MM SHCS91292a010 m2.5 * 6mm SHCS,Nozzle to collar alignment fixture | ????????,0.0,,
93600A267,3MM X 6MM DOWEL93600a267 3mm * 6mm,Nozzle to collar alignment fixture | ????????,0.0,,
91585A221,91585A221-18-8 DOWEL91585a221-18-8,Nozzle to collar alignment fixture | ????????,0.0,,
9657K644,COMPRESSION SPRING9657k644 ,Nozzle to collar alignment fixture | ????????,0.0,,
91585A431,4MM X 6MM DOWEL PIN91585a431 4mm * 6mm,Nozzle to collar alignment fixture | ????????,0.0,,
91292A114,M3 X 12MM SHCS91292A114 M3*12MM SHCS,Nozzle to collar alignment fixture | ????????,0.0,,
PSFRRA3-44-B2-S2  SHIM PCIMRS3-5-0.1,PSFRRA3-44-B2-S2 MISUMI SHIM PCIMRS3-5-0-1,Nozzle to collar alignment fixture | ????????,0.0,,
NETW2,RETAINING RING E-TYPENETW2 e,Nozzle to collar alignment fixture | ????????,0.0,,
SFL693ZZ,FLANGED BALL BEARINGSfl693zz,Nozzle to collar alignment fixture | ????????,0.0,,
125-008-250,BELLEVILLE WASHER ,Nozzle to collar alignment fixture | ????????,10.0,,
CI 011DE 10S316,COMPRESSION SPRINGCi 011de 10s316,Nozzle to collar alignment fixture | ????????,11.0,,
FXT-0087-01,TX-Collar Assembly Fixture BodyFXT-0087-01 TX,Ring electrode spacing fixture | ???????,0.0,,
FXT-0087-02,TX Collar Assembly Pull BarFXT-0087-02 TX,Ring electrode spacing fixture | ???????,0.0,,
FXT-0087-03,TX Collar ShimFXT-0087-03  TX,Ring electrode spacing fixture | ???????,9.0,,
FXT-0087-04,Electrode Band ShimFXT-0087-04 ,Ring electrode spacing fixture | ???????,10.0,,
FXT-0087-05,Toggle CamFXT-0087-05 ,Ring electrode spacing fixture | ???????,1.0,,
CID010ZD 01S ,Compression SpringsCID010ZD01S Leespering-CID010ZD01S,Ring electrode spacing fixture | ???????,0.0,,
90278A444,99278A444_SHOULDER SCREW,Ring electrode spacing fixture | ???????,10.0,,
90917A430,PRECISION SHIM WASHER90917a430,Ring electrode spacing fixture | ???????,200.0,,
90278A435,90278A435 SHOULDER SCREW90278 a435-shdulder,Ring electrode spacing fixture | ???????,5.0,,
57155K332,57155K60_SS BALL BEARING57155k332-ss,Ring electrode spacing fixture | ???????,5.0,,
57155K16,57155K16_SS BALL BEARING57155k160-ss,Ring electrode spacing fixture | ???????,5.0,,
6462K17,6462K17_SHAFT COLLAR6462k170-shaft,Ring electrode spacing fixture | ???????,0.0,,
LC 018B 01 S,LeeSpring-LC 018B 01 SLC018B01S Leespring-LC018B 01 S,Ring electrode spacing fixture | ???????,10.0,,
91828A111,M2 x 0.4 MM STEEL HEX NUT91828a111 m2 * 0.4mm,Ring electrode spacing fixture | ???????,20.0,,
FXT-00164-2,FXT-000164_GLASS_TUBEfxt - 00164 -,Service Loop Setting Fixture | ??????,2.0,,
FXT-00164-3,FXT-00164_DETENT_ KNOBfxt - 00164 -,Service Loop Setting Fixture | ??????,0.0,,
FXT-00164-5,FXT-00164_PINfxt - 00164,Service Loop Setting Fixture | ??????,0.0,,
FXT-00164-6,FXT-000164_SLIDERfxt - 00164,Service Loop Setting Fixture | ??????,0.0,,
FXT-00164-7,FXT-000164_BODY_CAPfxt - 00164 --,Service Loop Setting Fixture | ??????,0.0,,
